id,type,domain,enabled,date_added,date_modified,comment
19,3,^(.+[-_.])??adse?rv(er?|ice)?s?[0-9]*[-.],1,1585426668,1608564394,""
20,3,^(.+[-_.])??ad[sxv]?[0-9]*[-_.],1,1585426668,1608564396,""
21,3,^(.+[-_.])??telemetry[-.],1,1585426668,1608564398,""
22,3,^(.+[-_.])??xn--,1,1585426668,1608564400,""
23,3,^adim(age|g)s?[0-9]*[-_.],1,1585426668,1608564401,""
24,3,^adtrack(er|ing)?[0-9]*[-.],1,1585426668,1608564403,""
25,3,^advert(s|is(ing|ements?))?[0-9]*[-_.],1,1585426668,1608564404,""
26,3,^aff(iliat(es?|ion))?[-.],1,1585426668,1608564405,""
27,3,^analytics?[-.],1,1585426668,1608564406,""
28,3,^banners?[-.],1,1585426668,1608564408,""
29,3,^beacons?[0-9]*[-.],1,1585426668,1608564427,""
30,3,^count(ers?)?[0-9]*[-.],1,1585426668,1608564421,""
31,3,^pixels?[-.],1,1585426668,1608564418,""
32,3,^stat(s|istics)?[0-9]*[-.],1,1585426668,1608564415,""
33,3,^track(ers?|ing)?[0-9]*[-.],1,1585426668,1608564413,""
34,3,^traff(ic)?[-.],1,1585426668,1608564412,""
35,3,^(ads|logs|cloudservices).roku.com$,1,1585426668,1608564411,""
36,0,track.shipstation.com,1,1586220825,1589684086,"USPS tracking"
37,0,ib.huluim.com,1,1593787890,1593787985,"Hulu scrubbing thumbnails"
43,2,^beacons([0-9])?\.(gcp\.)?gvt([0-9])\.com$,1,1608398374,1608398374,"Fixes Google Meet buttons"
44,3,"^ad([sxv]?[0-9]*|system)[_.-]([^.[:space:]]+\.){1,}|[_.-]ad([sxv]?[0-9]*|system)[_.-]",1,1612716093,1612716093,https://github.com/mmotti/pihole-regex/blob/master/regex.list
45,3,^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-],1,1612716192,1612716192,https://github.com/mmotti/pihole-regex/blob/master/regex.list
46,3,^(.+[_.-])?telemetry[_.-],1,1612716203,1612716203,https://github.com/mmotti/pihole-regex/blob/master/regex.list
47,3,^adim(age|g)s?[0-9]*[_.-],1,1612716215,1612716215,https://github.com/mmotti/pihole-regex/blob/master/regex.list
48,3,^adtrack(er|ing)?[0-9]*[_.-],1,1612716222,1612716222,https://github.com/mmotti/pihole-regex/blob/master/regex.list
49,3,^advert(s|is(ing|ements?))?[0-9]*[_.-],1,1612716345,1612716345,https://github.com/mmotti/pihole-regex/blob/master/regex.list
50,3,^aff(iliat(es?|ion))?[_.-],1,1612716354,1612716354,https://github.com/mmotti/pihole-regex/blob/master/regex.list
51,3,^analytics?[_.-],1,1612716365,1612716365,https://github.com/mmotti/pihole-regex/blob/master/regex.list
52,3,^banners?[_.-],1,1612716372,1612716372,https://github.com/mmotti/pihole-regex/blob/master/regex.list
53,3,^mads\.,1,1612716405,1612716405,https://github.com/mmotti/pihole-regex/blob/master/regex.list
54,1,www.nwsvr1.com,1,1612717864,1612717864," Wansview"
55,0,app-measurement.com,1,1612786606,1612786606,"Added from Query Log"
56,0,api.leanplum.com,1,1612786612,1612786612,"Added from Query Log"
57,1,www.chong.com,1,1612841347,1612841347,
58,1,chong.com,1,1612841426,1612841426,fff
